ap,city,circle_code_no,ont_serial_no,vendor_name,station_mac,circle,client_with_poor_snr_sample,client_with_poor_snr_sample_2,client_with_poor_snr_sample_5,tot_2g,tot_5g,tot_overall,client_with_high_no_of_sticky_client_2_with_good_coverage,client_with_high_no_of_sticky_client_5_with_poor_coverage,client_with_high_tx_packet_error,client_with_high_client_disconnection,client_with_poor_link_speed_mcs_rate,client_with_poor_link_speed_mcs_rate_2,client_with_poor_link_speed_mcs_rate_5,client_with_poor_coverage,client_with_poor_coverage_2,client_with_poor_coverage_5,client_with_poor_dl_throughput_less_than_threshold,client_with_poor_ul_throughput_less_than_threshold,ap_manufacturer,host_name,type,manufacturer,model,client_with_poor_snr_sample_breach,client_with_poor_snr_sample_2_breach,client_with_poor_snr_sample_5_breach,client_with_high_tx_packet_error_breach,client_with_high_client_disconnection_breach,client_with_poor_link_speed_mcs_rate_breach,client_with_poor_link_speed_mcs_rate_2_breach,client_with_poor_link_speed_mcs_rate_5_breach,client_with_poor_coverage_breach,client_with_poor_coverage_2_breach,client_with_poor_coverage_5_breach,count_of_total_samples_for_client_with_poor_snr_sample,count_of_total_samples_for_client_with_poor_snr_sample_2,count_of_total_samples_for_client_with_poor_snr_sample_5,count_of_total_samples_for_ap_tot_2g,count_of_total_samples_for_ap_tot_5g,count_of_total_samples_for_ap_tot_overall,count_of_total_samples_for_client_with_high_tx_packet_error,count_of_total_samples_for_client_with_poor_link_speed_mcs_rate,count_of_total_samples_for_client_with_poor_link_speed_mcs_rate_2,count_of_total_samples_for_client_with_poor_link_speed_mcs_rate_5,count_of_total_samples_for_client_with_poor_coverage,count_of_total_samples_for_client_with_poor_coverage_2,count_of_total_samples_for_client_with_poor_coverage_5,ap name,circle code,ont serial number,vendor,mac address,connected clients,ap manufacturer,poor coverage (overall),poor coverage (2.4 ghz),poor coverage (5 ghz),poor snr (2.4 ghz),poor snr (5 ghz),poor snr (overall),low download throughput (overall),low upload throughput (overall),low link speed (overall),low link speed (2.4 ghz),low link speed (5 ghz),high interference (overall),high interference (2.4 ghz),high interference (5 ghz),high client disconnections (overall),high retry rate (overall),high tx packet errors (overall),tx packet error (%) (overall),high tx packet errors flag (overall),high rx packet errors (overall),high rx packet errors flag (overall),downtime (%) (overall),high cpu utilization (overall),memory errors (overall),"sticky clients (2.4 ghz, good coverage)","sticky clients (5 ghz, poor coverage)",poor tot on (5 ghz),zero usage aps (overall),channel utilization (%) (overall),high channel utilization count (overall),total channels (all bands),high channel utilization (2.4 ghz) (%),high channel utilization count (2.4 ghz),total channels (2.4 ghz),high channel congestion (5 ghz) (%),high channel congestion count (5 ghz),total channels (5 ghz),poor coverage breach (overall),poor coverage breach (2.4 ghz),poor coverage breach (5 ghz),poor snr breach (2.4 ghz),poor snr breach (5 ghz),poor snr breach (overall),low download throughput breach (overall),low upload throughput breach (overall),low link speed breach (overall),low link speed breach (2.4 ghz),low link speed breach (5 ghz),high interference breach (overall),high interference breach (2.4 ghz),high interference breach (5 ghz),high client disconnections breach (overall),high retry rate breach (overall),high tx packet errors breach (overall),tx packet error (%) breach (overall),high rx packet errors breach (overall),ap downtime (%) breach (overall),internet down incidents breach (overall),high cpu utilization breach (overall),memory errors breach (overall),"sticky clients breach (2.4 ghz, good coverage)","sticky clients breach (5 ghz, poor coverage)",poor tot on breach (5 ghz),zero usage aps breach (overall),high channel utilisation breach (overall),high channel utilisation breach (2.4 ghz),high channel congestion breach (5 ghz),obss (overall),obss2 4 (overall),obss2 4 breach (overall),obss5 (overall),obss5 breach (overall),obss breach (overall),count_of_total_samples_for_ap_with_poor_coverage,count_of_total_samples_for_ap_with_poor_coverage_2,count_of_total_samples_for_ap_with_poor_coverage_5,count_of_total_samples_for_ap_with_poor_snr_sample_2,count_of_total_samples_for_ap_with_poor_snr_sample_5,count_of_total_samples_for_ap_with_poor_snr_sample,count_of_total_samples_for_ap_with_poor_link_speed_mcs_rate,count_of_total_samples_for_ap_with_poor_link_speed_mcs_rate_2,count_of_total_samples_for_ap_with_poor_link_speed_mcs_rate_5,count_of_total_samples_for_ap_with_high_interference,count_of_total_samples_for_ap_with_high_interference_2,count_of_total_samples_for_ap_with_high_interference_5,count_of_total_samples_for_ap_with_high_retry_rate,count_of_total_samples_for_ap_with_high_tx_packet_error,count_of_total_samples_for_ap_with_high_tx_packet_error_percent,count_of_total_samples_for_ap_with_high_rx_packet_error,count_of_total_samples_for_ap_downtime_per,count_of_total_samples_for_ap_with_high_internet_down_incident,count_of_total_samples_for_ap_with_poor_tot_on_5g,count_of_total_samples_for_ap_with_high_channel_utilisation,count_of_total_samples_for_ap_with_high_channel_utilisation_2,count_of_total_samples_for_ap_with_high_channel_congestion_5,count_of_total_samples_for_channelobss,count_of_total_samples_for_channelobss2_4,count_of_total_samples_for_channelobss5
012444903348_dsl,Gurgaon,108.0,NKOT0F01CE7E,NOKIA,3644BFE90759,Haryana,,,,0.0,100.0,1.02,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.15,0.01,AOT4221NK,iPad,TABLET,Apple,iPad,,,,False,False,False,False,False,False,,False,,,,421568342.0,421568342.0,41415214771.0,283.0,283.0,,283.0,283.0,0.0,283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01244054723_dsl,Gurgaon,108.0,NKOT0F0226EE,NOKIA,EC0D51CA75ED,Haryana,61.95,61.95,0.0,0.0,0.0,0.0,,,0.0,4.0,100.0,100.0,0.0,100.0,100.0,,0.0,0.0,AOT4221NK,,,,,True,True,False,False,False,True,True,False,True,True,,3784.0,3784.0,0.0,0.0,0.0,54054643712.0,172.0,172.0,172.0,,172.0,172.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012436398608_dsl,Gurgaon,108.0,NKOTDF0001E7,NOKIA,4CC95E7815B6,Haryana,0.0,0.0,0.0,0.0,100.0,0.29,False,True,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.15,0.02,AOT4221NK,Samsung,,,,False,False,False,False,False,False,False,False,False,,False,9154.0,0.0,9154.0,150985728.0,150985728.0,51462659072.0,398.0,398.0,,398.0,398.0,0.0,398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012444903348_dsl,Gurgaon,108.0,NKOT0F01CE7E,NOKIA,BAE0FE461920,Haryana,0.0,0.0,0.0,0.0,100.0,0.17,False,True,0.0,30.0,75.14,100.0,75.09,0.18,100.0,0.0,0.04,0.01,AOT4221NK,Watch,,,,False,False,False,False,True,True,True,True,False,True,False,23.0,23.0,0.0,68966070.0,68966070.0,41415214771.0,555.0,555.0,1.0,554.0,555.0,1.0,554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012444801137_dsl,Gurgaon,108.0,NKOTDF000165,NOKIA,6288AC047A9A,Haryana,,,,0.0,100.0,0.03,,,0.0,4.0,100.0,0.0,100.0,0.0,,0.0,0.0,0.0,AOT4221NK,SM-R875F,OTHER,,,,,,False,False,True,False,True,False,,False,,,,12731392.0,12731392.0,37489877625.0,603.0,603.0,,603.0,603.0,0.0,603.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01246232448_dsl,Gurgaon,108.0,NKOT2F045EF1,NOKIA,CAC59849FA7A,Haryana,,,,0.0,100.0,0.6,,,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,1.79,0.49,AOT4221NK,,,,,,,,False,False,False,False,False,False,,False,,,,54938624.0,54938624.0,9088501760.0,777.0,777.0,,777.0,777.0,0.0,777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012436398608_dsl,Gurgaon,108.0,NKOTDF0001E7,NOKIA,E8AACBA5B753,Haryana,,,,100.0,0.0,26.78,False,False,0.0,3.0,70.25,70.25,0.0,0.0,0.0,,3.25,0.12,AOT4221NK,Samsung,,,,,,,False,False,True,True,False,False,False,,,,,13783762944.0,13783762944.0,51462659072.0,326.0,326.0,326.0,,326.0,326.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012445159575_dsl,Gurgaon,108.0,ZYOTFD000042,NOKIA,EEF8085B863E,Haryana,74.16,0.0,74.16,0.0,100.0,25.91,False,False,2.73,4.0,54.53,0.0,54.53,61.61,,61.61,1.9,0.09,AOT5221ZY,realme-15-5G,PHONE,Realme,15,True,False,True,False,False,False,False,False,True,,True,21091.0,0.0,21091.0,12841359360.0,12841359360.0,49567900672.0,917.0,917.0,,917.0,917.0,0.0,917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012444801137_dsl,Gurgaon,108.0,NKOTDF000165,NOKIA,EEB2A6A2A1E6,Haryana,,,,0.0,100.0,14.81,False,False,0.0,15.0,1.94,0.0,1.94,0.0,,0.0,1.06,0.06,AOT4221NK,Aditya-Vikram-s-A36,,,,,,,False,True,False,False,False,False,,False,,,,5551377728.0,5551377728.0,37489877625.0,823.0,823.0,,823.0,823.0,0.0,823.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01246472327_dsl,Gurgaon,108.0,NKOTA0000592,NOKIA,FA9E2EF43A61,Haryana,100.0,0.0,100.0,0.0,100.0,0.0,False,False,0.0,31.0,100.0,0.0,100.0,100.0,,100.0,0.0,0.0,AOT4221NK,iPhone,,,,True,False,True,False,True,True,False,True,True,,True,23.0,0.0,23.0,147456.0,147456.0,8149856256.0,1.0,1.0,,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01244081160_dsl,Gurgaon,108.0,NKOT0F01CE6F,NOKIA,624E55188F68,Haryana,0.0,0.0,0.0,0.0,100.0,0.3,False,False,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,1.59,0.01,AOT4221NK,iPad,TABLET,Apple,iPad,False,False,False,False,False,False,False,False,False,,False,9223.0,0.0,9223.0,22238208.0,22238208.0,7538201600.0,401.0,401.0,,401.0,401.0,0.0,401.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01244054723_dsl,Gurgaon,108.0,NKOT0F0226EE,NOKIA,4252B63C2E9E,Haryana,0.0,0.0,0.0,0.47,99.53,0.6,False,False,0.0,14.0,0.0,0.0,0.0,0.26,0.0,0.27,1.11,0.1,AOT4221NK,,,,,False,False,False,False,True,False,False,False,False,False,False,546.0,176.0,370.0,325744640.0,325744640.0,54054643712.0,378.0,378.0,8.0,370.0,378.0,8.0,370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01244081160_dsl,Gurgaon,108.0,NKOT0F01CE6F,NOKIA,A2B5039A07F0,Haryana,0.0,0.0,0.0,0.0,100.0,4.56,False,False,0.0,30.0,0.0,0.0,0.0,0.0,,0.0,3.15,0.07,AOT4221NK,iPhone,,,,False,False,False,False,True,False,False,False,False,,False,851.0,0.0,851.0,343927808.0,343927808.0,7538201600.0,37.0,37.0,,37.0,37.0,0.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012444903348_dsl,Gurgaon,108.0,NKOT0F01CE7E,NOKIA,8E9D83596BDF,Haryana,0.0,0.0,0.0,0.17,99.83,0.53,False,False,0.0,24.0,0.5,0.0,0.5,0.0,0.0,0.0,0.27,0.04,AOT4221NK,arna-s-S25,PHONE,,Galaxy,False,False,False,False,True,False,False,False,False,False,False,69.0,69.0,0.0,218953423.0,218953423.0,41415214771.0,799.0,799.0,3.0,796.0,799.0,3.0,796.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01246232448_dsl,Gurgaon,108.0,NKOT2F045EF1,NOKIA,9AF9AB0A6D71,Haryana,,,,0.0,100.0,17.12,False,False,0.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.15,0.03,AOT4221NK,,,,,,,,False,False,False,False,False,False,,False,,,,1556231168.0,1556231168.0,9088501760.0,869.0,869.0,,869.0,869.0,0.0,869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01244054723_dsl,Gurgaon,108.0,NKOT0F0226EE,NOKIA,FA221A76C102,Haryana,0.0,0.0,0.0,0.0,100.0,12.83,False,False,0.0,28.0,0.0,0.0,0.0,0.0,,0.0,1.02,2.21,AOT4221NK,,,,,False,False,False,False,True,False,False,False,False,,False,362.0,0.0,362.0,6933070848.0,6933070848.0,54054643712.0,362.0,362.0,,362.0,362.0,0.0,362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01244054723_dsl,Gurgaon,108.0,NKOT0F0226EE,NOKIA,88F4DA2E79F3,Haryana,0.0,0.0,0.0,0.0,100.0,0.0,False,False,0.0,4.0,33.33,0.0,33.33,0.0,,0.0,0.04,0.04,AOT4221NK,LTB0000372-003,LAPTOP,Lenovo,Laptop,False,False,False,False,False,False,False,False,False,,False,27.0,0.0,27.0,27648.0,27648.0,54054643712.0,27.0,27.0,,27.0,27.0,0.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012445159575_dsl,Gurgaon,108.0,ZYOTFD000042,NOKIA,36638CE621E6,Haryana,28.95,0.0,28.95,0.0,100.0,9.4,False,False,0.8,3.0,0.0,0.0,0.0,21.4,,21.4,4.29,0.16,AOT5221ZY,,,,,False,False,False,False,False,False,False,False,False,,False,11500.0,0.0,11500.0,4660164608.0,4660164608.0,49567900672.0,500.0,500.0,,500.0,500.0,0.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012444801137_dsl,Gurgaon,108.0,NKOTDF000165,NOKIA,2EEE3E558E46,Haryana,,,,0.0,100.0,1.65,False,False,0.0,18.0,1.28,0.0,1.28,0.0,,0.0,0.42,0.1,AOT4221NK,Saumya-s-S24-FE,,,,,,,False,True,False,False,False,False,,False,,,,617627689.0,617627689.0,37489877625.0,705.0,705.0,,705.0,705.0,0.0,705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012436398608_dsl,Gurgaon,108.0,NKOTDF0001E7,NOKIA,EAD4701DA67C,Haryana,0.0,0.0,0.0,0.24,99.76,21.9,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61,0.08,AOT4221NK,Android_TV,STREAMING_DEVICE,Vantiva,XstreamIPTV1-VT,False,False,False,False,False,False,False,False,False,False,False,24495.0,0.0,24495.0,11270885376.0,11270885376.0,51462659072.0,1066.0,1066.0,1.0,1065.0,1066.0,1.0,1065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012444801137_dsl,Gurgaon,108.0,NKOTDF000165,NOKIA,5A41573787E4,Haryana,,,,0.0,100.0,1.73,,,1.25,1.0,0.0,0.0,0.0,0.0,,0.0,0.23,0.02,AOT4221NK,XstreamIPTV1-VT,OTHER,,,,,,False,False,False,False,False,False,,False,,,,648669184.0,648669184.0,37489877625.0,1277.0,1277.0,,1277.0,1277.0,0.0,1277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012447957675_dsl,Gurgaon,108.0,ZYOT5E069474,NOKIA,522260ACACD0,Haryana,0.0,0.0,0.0,0.0,100.0,37.05,,,0.0,,0.0,0.0,0.0,0.0,,0.0,3.03,0.2,MTK 0000,,,,,False,False,False,False,,False,False,False,False,,False,31073.0,0.0,31073.0,18068444160.0,18068444160.0,48762856448.0,1351.0,1351.0,,1351.0,1351.0,0.0,1351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012445159575_dsl,Gurgaon,108.0,ZYOTFD000042,NOKIA,B24C6E7E6054,Haryana,51.58,0.0,51.58,0.0,100.0,8.61,False,False,0.0,4.0,0.0,0.0,0.0,46.6,,46.6,0.75,0.65,AOT5221ZY,OPPO-A57,PHONE,OPPO,Oppo,False,False,False,False,False,False,False,False,False,,False,18607.0,0.0,18607.0,4265873408.0,4265873408.0,49567900672.0,809.0,809.0,,809.0,809.0,0.0,809.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01244054723_dsl,Gurgaon,108.0,NKOT0F0226EE,NOKIA,D2D08E4B79CA,Haryana,0.0,0.0,0.0,0.0,100.0,7.62,False,True,0.0,12.0,0.0,0.0,0.0,0.0,,0.0,1.44,0.16,AOT4221NK,Arjuns-Galaxy-Note9,PHONE,Samsung Electronics,Galaxy,False,False,False,False,True,False,False,False,False,,False,362.0,0.0,362.0,4118533120.0,4118533120.0,54054643712.0,362.0,362.0,,362.0,362.0,0.0,362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012436398608_dsl,Gurgaon,108.0,NKOTDF0001E7,NOKIA,4A2B8C8008F5,Haryana,0.0,0.0,0.0,65.78,34.22,5.63,False,False,0.0,7.0,45.89,55.81,6.67,0.0,0.0,0.0,1.97,0.17,AOT4221NK,OnePlus-Nord-CE3-5G,,,,False,False,False,False,True,False,False,False,False,False,False,3105.0,0.0,3105.0,2894843904.0,2894843904.0,51462659072.0,669.0,669.0,534.0,135.0,669.0,534.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012447957675_dsl,Gurgaon,108.0,ZYOT5E069474,NOKIA,401A58606B5F,Haryana,0.0,0.0,0.0,0.0,100.0,35.84,,,0.0,,0.0,0.0,0.0,0.0,,0.0,8.02,0.38,MTK 0000,,,,,False,False,False,False,,False,False,False,False,,False,7935.0,0.0,7935.0,17477095424.0,17477095424.0,48762856448.0,345.0,345.0,,345.0,345.0,0.0,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012436398608_dsl,Gurgaon,108.0,NKOTDF0001E7,NOKIA,FAB7B87A32B0,Haryana,0.0,0.0,0.0,52.78,47.22,3.13,False,False,0.0,36.0,1.18,7.69,0.0,3.53,23.08,0.0,3.03,0.11,AOT4221NK,,,,,False,False,False,False,True,False,False,False,False,False,False,1656.0,0.0,1656.0,1610753024.0,1610753024.0,51462659072.0,85.0,85.0,13.0,72.0,85.0,13.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01244054723_dsl,Gurgaon,108.0,NKOT0F0226EE,NOKIA,CC6B1E9D361D,Haryana,0.0,0.0,0.0,0.0,100.0,30.88,False,True,0.0,1.0,5.86,0.0,5.86,0.0,,0.0,4.8,0.6,AOT4221NK,LAPTOP-333I3CKG,LAPTOP,HP,ProBook,False,False,False,False,False,False,False,False,False,,False,290.0,0.0,290.0,16693463040.0,16693463040.0,54054643712.0,290.0,290.0,,290.0,290.0,0.0,290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01244054723_dsl,Gurgaon,108.0,NKOT0F0226EE,NOKIA,5AA1E0C63E20,Haryana,0.0,0.0,0.0,0.0,100.0,6.29,False,False,0.0,37.0,0.0,0.0,0.0,0.0,,0.0,0.56,0.49,AOT4221NK,Pixel-8a,PHONE,Google,Pixel 8a,False,False,False,False,True,False,False,False,False,,False,774.0,0.0,774.0,3400269824.0,3400269824.0,54054643712.0,774.0,774.0,,774.0,774.0,0.0,774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01244054723_dsl,Gurgaon,108.0,NKOT0F0226EE,NOKIA,009235258E84,Haryana,71.21,71.21,0.0,0.0,0.0,0.0,,,0.0,14.0,100.0,100.0,0.0,100.0,100.0,,0.0,0.0,AOT4221NK,,,,,True,True,False,False,True,True,True,False,True,True,,1188.0,1188.0,0.0,0.0,0.0,54054643712.0,54.0,54.0,54.0,,54.0,54.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012444903348_dsl,Gurgaon,108.0,NKOT0F01CE7E,NOKIA,BCF171E84D65,Haryana,,,,0.0,100.0,0.01,,,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,AOT4221NK,TABLET-G71GRCJO,TABLET,Microsoft,Surface Pro 8,,,,False,False,False,False,False,False,,False,,,,4226454.0,4226454.0,41415214771.0,281.0,281.0,,281.0,281.0,0.0,281.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01244081160_dsl,Gurgaon,108.0,NKOT0F01CE6F,NOKIA,6854FD250B98,Haryana,,,,100.0,0.0,1.43,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.01,0.0,AOT4221NK,,,,,,,,False,,False,False,False,False,False,,,,,108005376.0,108005376.0,7538201600.0,1258.0,1258.0,1258.0,,1258.0,1258.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01246472327_dsl,Gurgaon,108.0,NKOTA0000592,NOKIA,481B40DAC1F0,Haryana,0.0,0.0,0.0,0.0,100.0,0.02,False,False,0.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,AOT4221NK,,,,,False,False,False,False,True,False,False,False,False,,False,805.0,0.0,805.0,1863680.0,1863680.0,8149856256.0,35.0,35.0,,35.0,35.0,0.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012444903348_dsl,Gurgaon,108.0,NKOT0F01CE7E,NOKIA,5CEA1D30FB63,Haryana,,,,0.0,100.0,23.76,,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,4.52,0.05,AOT4221NK,Unknown_5c:ea:1d:30:fb:63,TV,Sony,Television,,,,False,False,False,False,False,False,,False,,,,9840119029.0,9840119029.0,41415214771.0,833.0,833.0,,833.0,833.0,0.0,833.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012444903348_dsl,Gurgaon,108.0,NKOT0F01CE7E,NOKIA,82A170AF2571,Haryana,0.0,0.0,0.0,100.0,0.0,13.56,False,False,0.0,1.0,100.0,100.0,0.0,0.0,0.0,,1.41,0.32,AOT4221NK,realme-15T,,,,False,False,False,False,False,True,True,False,False,False,,4094.0,4094.0,0.0,5617872896.0,5617872896.0,41415214771.0,178.0,178.0,178.0,,178.0,178.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012447957675_dsl,Gurgaon,108.0,ZYOT5E069474,NOKIA,FE8D24EBC286,Haryana,0.0,0.0,0.0,0.0,100.0,0.76,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.02,0.0,MTK 0000,,,,,False,False,False,False,,False,False,False,False,,False,31073.0,0.0,31073.0,370772992.0,370772992.0,48762856448.0,1351.0,1351.0,,1351.0,1351.0,0.0,1351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
