AP,Circle,CITY,circle_code_no,ONT_SERIAL_NO,VENDOR_NAME,mac_address,station_count,downtime_hours_used,ap_manufacturer,host_name,ap_with_poor_coverage,ap_with_poor_coverage_2,ap_with_poor_coverage_5,ap_with_poor_snr_sample_2,ap_with_poor_snr_sample_5,ap_with_poor_snr_sample,ap_with_poor_dl_throughput_less_than_threshold,ap_with_poor_ul_throughput_less_than_threshold,ap_with_poor_link_speed_mcs_rate,ap_with_poor_link_speed_mcs_rate_2,ap_with_poor_link_speed_mcs_rate_5,ap_with_high_interference,ap_with_high_interference_2,ap_with_high_interference_5,ap_with_high_client_disconnection,ap_with_high_retry_rate,ap_with_high_retry_rate_flag,ap_with_high_tx_packet_error,ap_with_high_tx_packet_error_percent,ap_with_high_tx_packet_error_flag,ap_with_high_rx_packet_error,ap_with_high_rx_packet_error_flag,ap_downtime_per,ap_with_high_internet_down_incident,ap_with_high_cpu_utilisation,ap_with_high_memory_packet_error,ap_with_high_no_of_sticky_client_2_with_good_coverage,ap_with_high_no_of_sticky_client_5_with_poor_coverage,ap_with_poor_tot_on_5G,ap_with_zero_usage,ap_with_high_channel_utilisation_pct,ap_with_high_channel_utilisation_count,total_channels_all,ap_with_high_channel_utilisation_2_pct,ap_with_high_channel_utilisation_2_count,total_channels_2,ap_with_high_channel_congestion_5_pct,ap_with_high_channel_congestion_5_count,total_channels_5,ap_with_poor_coverage_breach,ap_with_poor_coverage_2_breach,ap_with_poor_coverage_5_breach,ap_with_poor_snr_sample_2_breach,ap_with_poor_snr_sample_5_breach,ap_with_poor_snr_sample_breach,ap_with_poor_dl_throughput_less_than_threshold_breach,ap_with_poor_ul_throughput_less_than_threshold_breach,ap_with_poor_link_speed_mcs_rate_breach,ap_with_poor_link_speed_mcs_rate_2_breach,ap_with_poor_link_speed_mcs_rate_5_breach,ap_with_high_interference_breach,ap_with_high_interference_2_breach,ap_with_high_interference_5_breach,ap_with_high_client_disconnection_breach,ap_with_high_retry_rate_breach,ap_with_high_tx_packet_error_breach,ap_with_high_tx_packet_error_percent_breach,ap_with_high_rx_packet_error_breach,ap_downtime_per_breach,ap_with_high_internet_down_incident_breach,ap_with_high_cpu_utilisation_breach,ap_with_high_memory_packet_error_breach,ap_with_high_no_of_sticky_client_2_with_good_coverage_breach,ap_with_high_no_of_sticky_client_5_with_poor_coverage_breach,ap_with_poor_tot_on_5G_breach,ap_with_zero_usage_breach,ap_with_high_channel_utilisation_breach,ap_with_high_channel_utilisation_2_breach,ap_with_high_channel_congestion_5_breach,channelobss,channelobss2_4,channelobss2_4_breach,channelobss5,channelobss5_breach,channelobss_breach,ap_with_poor_coverage_sample_count,ap_with_poor_coverage_2_sample_count,ap_with_poor_coverage_5_sample_count,ap_with_poor_snr_sample_2_sample_count,ap_with_poor_snr_sample_5_sample_count,ap_with_poor_snr_sample_sample_count,ap_with_poor_link_speed_mcs_rate_sample_count,ap_with_poor_link_speed_mcs_rate_2_sample_count,ap_with_poor_link_speed_mcs_rate_5_sample_count,ap_with_high_interference_sample_count,ap_with_high_interference_2_sample_count,ap_with_high_interference_5_sample_count,ap_with_high_retry_rate_sample_count,ap_with_high_tx_packet_error_sample_count,ap_with_high_tx_packet_error_percent_sample_count,ap_with_high_rx_packet_error_sample_count,ap_downtime_per_sample_count,ap_with_high_internet_down_incident_sample_count,ap_with_poor_tot_on_5G_sample_count,ap_with_high_channel_utilisation_sample_count,ap_with_high_channel_utilisation_2_sample_count,ap_with_high_channel_congestion_5_sample_count,channelobss_sample_count,channelobss2_4_sample_count,channelobss5_sample_count,date
01244081160_dsl,Haryana,Gurgaon,108.0,NKOT0F01CE6F,NOKIA,2C-C1-F4-32-FE-41,7,,AOT4221NK,,0.0,0.0,0.0,0.0,0.0,0.0,16.24,1.51,14.79,100.0,0.0,8.32,23.98,0.2,153.0,4.24,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,95.02,1039863808.0,7.89,3.0,38.0,23.08,3.0,13.0,0.0,0.0,25.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,,,True,False,False,False,False,False,False,False,False,60.17,100.0,True,20.34,False,True,1102,163,939,0.0,15963.0,15963.0,1102,163.0,939.0,2236.0,763.0,1473.0,118.0,1102,118.0,118.0,,,1039863808.0,38.0,13.0,25.0,118.0,59.0,59.0,20260415
012444903348_dsl,Haryana,Gurgaon,108.0,NKOT0F01CE7E,NOKIA,2C-C1-F4-32-FF-31,11,,AAP321NK,Unknown_dc:4b:a1:04:e8:a6,0.21,6.3,0.0,2.41,0.0,0.0,7.64,2.29,14.05,69.29,12.18,1.36,3.99,0.0,262.0,11.08,1.0,0.23,0.31,0.0,0.0,0.0,,,17.0,0.0,1.0,0.0,89.0,42115918848.0,0.0,0.0,38.0,0.0,0.0,13.0,0.0,0.0,25.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,,,True,False,False,False,False,False,False,False,False,96.71,100.0,True,93.41,True,True,3871,127,3744,2159.0,0.0,1802.0,3871,127.0,3744.0,6324.0,2158.0,4166.0,334.0,3871,320.0,333.0,,,42115918848.0,38.0,13.0,25.0,334.0,167.0,167.0,20260415
012444801137_dsl,Haryana,Gurgaon,108.0,NKOTDF000165,NOKIA,50-3D-7F-DF-EC-00,7,,AAP321NK,Family-Room-TV,0.97,9.0,0.37,5.18,0.0,0.0,3.99,1.75,15.59,84.0,10.47,4.22,11.63,0.37,50.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,0.0,0.0,0.0,99.99,19070988969.0,0.0,0.0,38.0,0.0,0.0,13.0,0.0,0.0,25.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,,,True,False,False,False,False,False,False,False,False,61.02,100.0,True,22.03,False,True,1437,100,1337,1700.0,0.0,1547.0,1437,100.0,1337.0,4481.0,1531.0,2950.0,236.0,1437,232.0,236.0,,,19070988969.0,38.0,13.0,25.0,236.0,118.0,118.0,20260415
01244203817_dsl,Haryana,Gurgaon,108.0,ZYOT2E000479,NOKIA,58-07-F8-4F-AB-41,3,,AAP321NK,Mac,31.53,89.74,0.0,0.0,0.0,0.0,0.1,0.03,32.43,92.31,0.0,0.0,0.0,0.0,587.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,,,17.0,0.0,0.0,0.0,76.18,8769536.0,0.0,0.0,38.0,0.0,0.0,13.0,0.0,0.0,25.0,False,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,,,True,False,False,False,False,False,False,False,False,50.0,100.0,True,0.0,False,False,111,39,72,0.0,1224.0,1224.0,111,39.0,72.0,2246.0,757.0,1489.0,120.0,111,120.0,120.0,,,8769536.0,38.0,13.0,25.0,120.0,60.0,60.0,20260415
012436398608_dsl,Haryana,Gurgaon,108.0,NKOTDF0001E7,NOKIA,50-3D-7F-DF-F4-20,11,,AAP321NK,OnePlus-Nord-CE4-Lite-5G,0.27,1.28,0.04,0.0,0.03,0.0,3.39,0.64,19.14,47.67,12.57,1.13,3.3,0.0,113.0,6.98,1.0,0.27,0.28,0.0,0.0,0.0,,,1.0,0.0,2.0,0.0,55.84,52110457856.0,0.0,0.0,38.0,0.0,0.0,13.0,0.0,0.0,25.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,,,True,False,False,False,False,False,False,False,False,50.42,100.0,True,0.84,False,True,3328,623,2705,0.0,45985.0,29104.0,3328,623.0,2705.0,4521.0,1547.0,2974.0,358.0,3328,354.0,357.0,,,52110457856.0,38.0,13.0,25.0,238.0,119.0,119.0,20260415
01246472327_dsl,Haryana,Gurgaon,108.0,SROTCC001603,NOKIA,0C-36-23-4F-B1-90,6,,AOT4221NK,DESKTOP-V9GHGK2,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.25,0.1,0.0,0.1,4.68,11.61,1.05,203.0,4.43,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,99.98,7630724650.0,7.89,3.0,38.0,15.38,2.0,13.0,4.0,1.0,25.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,,,True,False,False,False,False,False,False,False,False,98.17,100.0,True,96.34,True,True,1030,9,1021,0.0,24480.0,24480.0,1030,9.0,1021.0,3053.0,1051.0,2002.0,158.0,1030,161.0,161.0,,,7630724650.0,38.0,13.0,25.0,164.0,82.0,82.0,20260416
01244081160_dsl,Haryana,Gurgaon,108.0,NKOT0F01CE6F,NOKIA,2C-C1-F4-32-FE-41,7,,AOT4221NK,AAP321NK,0.0,0.0,0.0,0.0,0.0,0.0,2.62,0.95,0.49,1.2,0.47,7.63,21.65,0.24,176.0,7.36,1.0,0.0,0.0,0.0,0.0,0.0,,,5.0,0.0,0.0,0.0,99.94,12944999424.0,2.63,1.0,38.0,7.69,1.0,13.0,0.0,0.0,25.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,,,True,False,False,False,False,False,False,False,False,60.24,100.0,True,20.48,False,True,3477,83,3394,0.0,81456.0,81456.0,3477,83.0,3394.0,3121.0,1076.0,2045.0,163.0,3477,163.0,163.0,,,12944999424.0,38.0,13.0,25.0,166.0,83.0,83.0,20260416
012444801137_dsl,Haryana,Gurgaon,108.0,NKOTDF000165,NOKIA,50-3D-7F-DF-EC-00,8,,AAP321NK,,1.38,5.13,0.0,1.42,0.0,0.0,4.17,0.08,37.87,86.38,19.98,3.72,10.31,0.29,39.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0,0.0,0.0,0.0,99.89,30920633344.0,0.0,0.0,38.0,0.0,0.0,13.0,0.0,0.0,25.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,,,True,False,False,False,False,False,False,False,False,65.11,100.0,True,30.22,False,True,5287,1424,3863,34176.0,0.0,32424.0,5287,1424.0,3863.0,6914.0,2366.0,4548.0,356.0,5287,350.0,356.0,,,30920633344.0,38.0,13.0,25.0,364.0,182.0,182.0,20260416
01244203817_dsl,Haryana,Gurgaon,108.0,ZYOT2E000479,NOKIA,58-07-F8-4F-AB-41,3,,AAP321NK,M2006C3MII-Soundbar,28.3,42.25,0.0,0.0,0.0,0.0,3.24,0.05,28.3,42.25,0.0,0.0,0.0,0.0,530.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,,,7.0,0.0,0.0,0.0,1.22,4573367296.0,0.0,0.0,38.0,0.0,0.0,13.0,0.0,0.0,25.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,,,True,False,False,False,True,False,False,False,False,50.0,100.0,True,0.0,False,False,106,71,35,0.0,840.0,840.0,106,71.0,35.0,3248.0,1104.0,2144.0,172.0,106,171.0,172.0,,,4573367296.0,38.0,13.0,25.0,172.0,86.0,86.0,20260416
012436398608_dsl,Haryana,Gurgaon,108.0,NKOTDF0001E7,NOKIA,50-3D-7F-DF-F4-20,11,,AOT4221NK,Android_TV,0.58,0.46,0.59,0.0,0.56,0.27,3.52,0.18,13.51,36.19,11.38,1.35,3.7,0.12,106.0,3.16,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,0.0,1.0,0.0,77.65,66397630464.0,0.0,0.0,38.0,0.0,0.0,13.0,0.0,0.0,25.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,,,True,False,False,False,False,False,False,False,False,50.0,100.0,True,0.0,False,False,5026,431,4595,0.0,110280.0,75360.0,5026,431.0,4595.0,6431.0,2219.0,4212.0,506.0,5026,498.0,506.0,,,66397630464.0,38.0,13.0,25.0,342.0,171.0,171.0,20260416
01246472327_dsl,Haryana,Gurgaon,108.0,SROTCC001603,NOKIA,0C-36-23-4F-B1-90,5,,AOT4221NK,iPhone,0.07,,0.07,0.0,0.07,0.07,2.35,0.24,5.0,0.0,5.0,4.93,11.77,1.4,191.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,100.0,9275879424.0,5.26,2.0,38.0,7.69,1.0,13.0,4.0,1.0,25.0,False,,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,,,True,False,False,False,False,False,False,False,False,99.42,100.0,True,98.84,True,True,1421,0,1421,0.0,34104.0,34104.0,1421,,1421.0,3263.0,1113.0,2150.0,166.0,1421,172.0,172.0,,,9275879424.0,38.0,13.0,25.0,172.0,86.0,86.0,20260417
012418656566_wifi,,,,,,80-EA-0B-C4-54-9A,5,,AAP321NK,AZYAPBB000086350,4.23,0.0,4.96,0.0,26.08,26.37,1.52,0.23,17.41,38.14,13.85,39.63,48.18,34.03,6.0,0.0,0.0,6.84,1.75,0.0,0.0,0.0,,,,,0.0,0.0,99.74,501605376.0,0.0,0.0,38.0,0.0,0.0,13.0,0.0,0.0,25.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,,,,,False,False,False,False,False,False,False,97.97,100.0,True,95.93,True,True,804,118,686,0.0,3458.0,3420.0,804,118.0,686.0,5193.0,2055.0,3138.0,344.0,804,343.0,344.0,,,501605376.0,38.0,13.0,25.0,344.0,172.0,172.0,20260417
01244081160_dsl,Haryana,Gurgaon,108.0,NKOT0F01CE6F,NOKIA,2C-C1-F4-32-FE-41,7,,AOT4221NK,,0.35,0.0,0.41,0.0,0.41,0.41,2.23,0.8,0.56,0.0,0.67,7.2,21.11,0.0,139.0,6.47,1.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,99.54,13677526016.0,2.63,1.0,38.0,7.69,1.0,13.0,0.0,0.0,25.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,,,,,False,False,False,False,False,False,False,58.82,100.0,True,17.65,False,True,4634,726,3908,0.0,93792.0,93792.0,4634,726.0,3908.0,3223.0,1099.0,2124.0,170.0,4634,170.0,170.0,,,13677526016.0,38.0,13.0,25.0,170.0,85.0,85.0,20260417
01244054723_dsl,Haryana,Gurgaon,108.0,NKOT0F0226EE,NOKIA,2C-C1-F4-38-86-31,8,,AAP321NK,,7.86,16.91,4.53,9.3,2.39,3.06,3.59,0.15,30.53,90.22,8.6,1.36,3.84,0.08,148.0,1.99,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,92.75,32807789568.0,7.89,3.0,38.0,23.08,3.0,13.0,0.0,0.0,25.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,,,,,False,False,False,False,False,False,False,74.35,100.0,True,48.7,False,True,4644,1248,3396,19968.0,27168.0,32144.0,4644,1248.0,3396.0,5825.0,1981.0,3844.0,352.0,4644,352.0,352.0,,,32807789568.0,38.0,13.0,25.0,308.0,154.0,154.0,20260417
012444801137_dsl,Haryana,Gurgaon,108.0,NKOTDF000165,NOKIA,50-3D-7F-DF-EC-00,8,,AOT4221NK,,0.02,0.08,0.0,0.02,0.0,0.0,4.68,0.09,39.49,89.58,18.79,2.81,7.27,0.49,39.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,,,6.0,0.0,0.0,0.0,99.78,16648619008.0,0.0,0.0,38.0,0.0,0.0,13.0,0.0,0.0,25.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,,,True,False,False,False,False,False,False,False,False,62.64,100.0,True,25.28,False,True,4497,1315,3182,28930.0,6364.0,29440.0,4497,1315.0,3182.0,6761.0,2312.0,4449.0,356.0,4497,351.0,356.0,,,16648619008.0,38.0,13.0,25.0,356.0,178.0,178.0,20260417
